"Athletics Indicator","Major","Term","Distinct Students","Distinct Students.FORMATTED_VALUE"
"Never an Athlete","Oboe (OBOE)","2023-24","4.0","4"
"Never an Athlete","Opera (OPRA)","2021-22","4.0","4"
"Never an Athlete","Opera (OPRA)","2022-23","4.0","4"
"Never an Athlete","Opera (OPRA)","2023-24","4.0","4"
"Never an Athlete","Opera (OPRA)","2024-25","3.0","3"
"Never an Athlete","Orchestral Studies (ORCH)","2021-22","14.0","14"
"Never an Athlete","Orchestral Studies (ORCH)","2022-23","8.0","8"
"Never an Athlete","Orchestral Studies (ORCH)","2023-24","9.0","9"
"Never an Athlete","Orchestral Studies (ORCH)","2024-25","4.0","4"
"Never an Athlete","Organization Development (ORGD)","2021-22","1.0","1"
"Never an Athlete","Organization Development (ORGD)","2022-23","2.0","2"
"Never an Athlete","Organization Development (ORGD)","2023-24","2.0","2"
"Never an Athlete","Organization Development (ORGD)","2024-25","2.0","2"
"Never an Athlete","Percussion (PER)","2021-22","1.0","1"
"Never an Athlete","Percussion (PER)","2022-23","3.0","3"
"Never an Athlete","Percussion (PER)","2023-24","2.0","2"
"Never an Athlete","Percussion (PER)","2024-25","1.0","1"
"Never an Athlete","Piano (PIA)","2021-22","17.0","17"
"Never an Athlete","Piano (PIA)","2022-23","17.0","17"
"Never an Athlete","Piano (PIA)","2023-24","11.0","11"
"Never an Athlete","Piano (PIA)","2024-25","15.0","15"
"Never an Athlete","Preclinical Psychology (PPSY)","2021-22","1.0","1"
"Never an Athlete","Preclinical Psychology (PPSY)","2022-23","1.0","1"
"Never an Athlete","Public Administration (PBAD)","2021-22","16.0","16"
"Never an Athlete","Public Administration (PBAD)","2022-23","12.0","12"
"Never an Athlete","Public Administration (PBAD)","2023-24","11.0","11"
"Never an Athlete","Public Administration (PBAD)","2024-25","11.0","11"
"Never an Athlete","Real Estate (REES)","2021-22","18.0","18"
"Never an Athlete","Real Estate (REES)","2022-23","10.0","10"
"Never an Athlete","Real Estate (REES)","2023-24","10.0","10"
"Never an Athlete","Real Estate (REES)","2024-25","15.0","15"
"Never an Athlete","Real Estate Finance & Invest (REFI)","2021-22","1.0","1"
